# IR0 BusyBox applet status — generated by make busybox-matrix.
# Do not edit by hand: status must come from a run, not from a build.
# applet	status	evidence
[                 	supported	alias of test (BUSY-2 / host smoke)
[[                	supported	ash [[ / test family
acpid             	supported	busybox-matrix(ec=0)
add-shell         	supported	busybox-matrix(ec=0)
adjtimex          	supported	busybox-matrix(ec=0)
arch              	supported	busybox-matrix(ec=0)
arp               	supported	busybox-matrix(ec=0)
arping            	supported	busybox-matrix(ec=0)
ascii             	supported	busybox-matrix(ec=0)
ash               	supported	make smoke-fase58e-ash-interactive
awk               	supported	busybox-matrix(ec=0)
base32            	supported	busybox-matrix(ec=0)
base64            	supported	busybox-matrix(ec=0)
basename          	supported	busybox-matrix(ec=0)
bc                	supported	busybox-matrix(ec=0)
beep              	supported	busybox-matrix(ec=0)
blkdiscard        	supported	busybox-matrix(ec=0)
blkid             	supported	busybox-matrix(ec=0)
blockdev          	supported	busybox-matrix(ec=0)
bootchartd        	supported	busybox-matrix(ec=0)
brctl             	supported	busybox-matrix(ec=0)
bunzip2           	supported	busybox-matrix(ec=0)
busybox           	supported	busybox-matrix(ec=0)
bzcat             	supported	busybox-matrix(ec=0)
bzip2             	supported	busybox-matrix(ec=0)
cal               	supported	busybox-matrix(ec=0)
cat               	supported	busybox-matrix(ec=0)
chat              	supported	busybox-matrix(ec=0)
chattr            	supported	busybox-matrix(ec=0)
chgrp             	supported	busybox-matrix(ec=0)
chmod             	supported	busybox-matrix(ec=0)
chown             	supported	busybox-matrix(ec=0)
chpasswd          	supported	busybox-matrix(ec=0)
chpst             	supported	busybox-matrix(ec=0)
chroot            	supported	busybox-matrix(ec=0)
chrt              	supported	busybox-matrix(ec=0)
chvt              	supported	busybox-matrix(ec=0)
cksum             	supported	busybox-matrix(ec=0)
clear             	supported	busybox-matrix(ec=0)
cmp               	supported	busybox-matrix(ec=0)
comm              	supported	busybox-matrix(ec=0)
conspy            	unverified	host-help(present)
cp                	supported	busybox-matrix(ec=0)
cpio              	supported	busybox-matrix(ec=0)
crc32             	supported	busybox-matrix(ec=0)
crond             	supported	busybox-matrix(ec=0)
crontab           	supported	busybox-matrix(ec=0)
cryptpw           	supported	busybox-matrix(ec=0)
cttyhack          	unverified	host-help(present)
cut               	supported	busybox-matrix(ec=0)
date              	supported	busybox-matrix(ec=0)
dc                	supported	busybox-matrix(ec=0)
dd                	supported	busybox-matrix(ec=0)
deallocvt         	supported	busybox-matrix(ec=0)
depmod            	supported	busybox-matrix(ec=0)
devmem            	supported	busybox-matrix(ec=0)
df                	supported	busybox-matrix(ec=0)
dhcprelay         	supported	busybox-matrix(ec=0)
diff              	supported	busybox-matrix(ec=0)
dirname           	supported	busybox-matrix(ec=0)
dmesg             	supported	busybox-matrix(ec=0)
dnsd              	supported	busybox-matrix(ec=0)
dnsdomainname     	supported	busybox-matrix(ec=0)
dos2unix          	supported	busybox-matrix(ec=0)
dpkg              	supported	busybox-matrix(ec=0)
dpkg-deb          	supported	busybox-matrix(ec=0)
du                	supported	busybox-matrix(ec=0)
dumpkmap          	supported	busybox-matrix(ec=0)
dumpleases        	supported	busybox-matrix(ec=0)
echo              	supported	busybox-matrix(ec=0)
ed                	supported	busybox-matrix(ec=0)
egrep             	supported	busybox-matrix(ec=0)
eject             	supported	busybox-matrix(ec=0)
env               	supported	busybox-matrix(ec=0)
envdir            	supported	busybox-matrix(ec=0)
envuidgid         	supported	busybox-matrix(ec=0)
ether-wake        	supported	busybox-matrix(ec=0)
expand            	supported	busybox-matrix(ec=0)
expr              	supported	busybox-matrix(ec=0)
factor            	supported	busybox-matrix(ec=0)
fakeidentd        	supported	busybox-matrix(ec=0)
fallocate         	supported	busybox-matrix(ec=0)
false             	supported	busybox-matrix(ec=1)
fatattr           	supported	busybox-matrix(ec=0)
fbset             	supported	busybox-matrix(ec=0)
fbsplash          	supported	busybox-matrix(ec=0)
fdflush           	supported	busybox-matrix(ec=0)
fdformat          	supported	busybox-matrix(ec=0)
fdisk             	supported	busybox-matrix(ec=0)
fgconsole         	supported	busybox-matrix(ec=0)
fgrep             	supported	busybox-matrix(ec=0)
find              	supported	busybox-matrix(ec=0)
findfs            	supported	busybox-matrix(ec=0)
flock             	supported	busybox-matrix(ec=0)
fold              	supported	busybox-matrix(ec=0)
free              	supported	busybox-matrix(ec=0)
freeramdisk       	supported	busybox-matrix(ec=0)
fsck              	supported	busybox-matrix(ec=0)
fsck.minix        	supported	busybox-matrix(ec=0)
fsfreeze          	supported	busybox-matrix(ec=0)
fstrim            	supported	busybox-matrix(ec=0)
fsync             	supported	busybox-matrix(ec=0)
ftpd              	supported	busybox-matrix(ec=0)
ftpget            	supported	busybox-matrix(ec=0)
ftpput            	supported	busybox-matrix(ec=0)
fuser             	supported	busybox-matrix(ec=0)
getopt            	supported	busybox-matrix(ec=0)
grep              	supported	busybox-matrix(ec=0)
groups            	supported	busybox-matrix(ec=0)
gunzip            	supported	busybox-matrix(ec=0)
gzip              	supported	busybox-matrix(ec=0)
halt              	supported	make smoke-runit-busybox-halt
hd                	supported	busybox-matrix(ec=0)
hdparm            	supported	busybox-matrix(ec=0)
head              	supported	busybox-matrix(ec=0)
hexdump           	supported	busybox-matrix(ec=0)
hexedit           	supported	busybox-matrix(ec=0)
hostid            	supported	busybox-matrix(ec=0)
hostname          	supported	busybox-matrix(ec=0)
hush              	unverified	host-help(present)
hwclock           	supported	busybox-matrix(ec=0)
i2cdetect         	supported	busybox-matrix(ec=0)
i2cdump           	supported	busybox-matrix(ec=0)
i2cget            	supported	busybox-matrix(ec=0)
i2cset            	supported	busybox-matrix(ec=0)
i2ctransfer       	supported	busybox-matrix(ec=0)
id                	supported	busybox-matrix(ec=0)
ifconfig          	supported	busybox-matrix(ec=0)
ifdown            	supported	busybox-matrix(ec=0)
ifenslave         	supported	busybox-matrix(ec=0)
ifplugd           	supported	busybox-matrix(ec=0)
ifup              	supported	busybox-matrix(ec=0)
inetd             	supported	busybox-matrix(ec=0)
insmod            	supported	busybox-matrix(ec=0)
install           	supported	busybox-matrix(ec=0)
ionice            	supported	busybox-matrix(ec=0)
iostat            	supported	busybox-matrix(ec=0)
ip                	supported	busybox-matrix(ec=0)
ipaddr            	supported	busybox-matrix(ec=0)
ipcalc            	supported	busybox-matrix(ec=0)
ipcrm             	supported	busybox-matrix(ec=0)
ipcs              	supported	busybox-matrix(ec=0)
iplink            	supported	busybox-matrix(ec=0)
ipneigh           	supported	busybox-matrix(ec=0)
iproute           	supported	busybox-matrix(ec=0)
iprule            	supported	busybox-matrix(ec=0)
iptunnel          	supported	busybox-matrix(ec=0)
kbd_mode          	supported	busybox-matrix(ec=0)
kill              	supported	busybox-matrix(ec=0)
killall           	supported	busybox-matrix(ec=0)
killall5          	supported	busybox-matrix(ec=0)
klogd             	supported	busybox-matrix(ec=0)
last              	supported	busybox-matrix(ec=0)
less              	supported	busybox-matrix(ec=0)
link              	supported	busybox-matrix(ec=0)
linux32           	supported	busybox-matrix(ec=0)
linux64           	supported	busybox-matrix(ec=0)
linuxrc           	unverified	host-help(present)
ln                	supported	busybox-matrix(ec=0)
loadfont          	supported	busybox-matrix(ec=0)
loadkmap          	supported	busybox-matrix(ec=0)
logger            	supported	busybox-matrix(ec=0)
logname           	supported	busybox-matrix(ec=0)
logread           	supported	busybox-matrix(ec=0)
losetup           	supported	busybox-matrix(ec=0)
lpd               	supported	busybox-matrix(ec=0)
lpq               	supported	busybox-matrix(ec=0)
lpr               	supported	busybox-matrix(ec=0)
ls                	supported	busybox-matrix(ec=0)
lsattr            	supported	busybox-matrix(ec=0)
lsmod             	supported	busybox-matrix(ec=0)
lsof              	supported	busybox-matrix(ec=0)
lspci             	supported	busybox-matrix(ec=0)
lsscsi            	supported	busybox-matrix(ec=0)
lsusb             	supported	busybox-matrix(ec=0)
lzcat             	supported	busybox-matrix(ec=0)
lzma              	supported	busybox-matrix(ec=0)
lzop              	supported	busybox-matrix(ec=0)
makedevs          	supported	busybox-matrix(ec=0)
makemime          	supported	busybox-matrix(ec=0)
man               	supported	busybox-matrix(ec=0)
md5sum            	supported	busybox-matrix(ec=0)
mdev              	supported	busybox-matrix(ec=0)
mesg              	supported	busybox-matrix(ec=0)
microcom          	unverified	host-help(present)
mim               	supported	busybox-matrix(ec=0)
mkdir             	supported	busybox-matrix(ec=0)
mkdosfs           	supported	busybox-matrix(ec=0)
mke2fs            	supported	busybox-matrix(ec=0)
mkfifo            	supported	busybox-matrix(ec=0)
mkfs.ext2         	supported	busybox-matrix(ec=0)
mkfs.minix        	supported	busybox-matrix(ec=0)
mkfs.vfat         	supported	busybox-matrix(ec=0)
mknod             	supported	busybox-matrix(ec=0)
mkpasswd          	supported	busybox-matrix(ec=0)
mkswap            	supported	busybox-matrix(ec=0)
mktemp            	supported	busybox-matrix(ec=0)
modinfo           	supported	busybox-matrix(ec=0)
modprobe          	supported	busybox-matrix(ec=0)
more              	supported	busybox-matrix(ec=0)
mount             	supported	busybox-matrix(ec=0)
mountpoint        	supported	busybox-matrix(ec=0)
mpstat            	supported	busybox-matrix(ec=0)
mt                	supported	busybox-matrix(ec=0)
mv                	supported	busybox-matrix(ec=0)
nameif            	supported	busybox-matrix(ec=0)
nanddump          	supported	busybox-matrix(ec=0)
nandwrite         	supported	busybox-matrix(ec=0)
nbd-client        	supported	busybox-matrix(ec=0)
nc                	supported	busybox-matrix(ec=0)
netstat           	supported	busybox-matrix(ec=0)
nice              	supported	busybox-matrix(ec=0)
nl                	supported	busybox-matrix(ec=0)
nmeter            	supported	busybox-matrix(ec=0)
nohup             	supported	busybox-matrix(ec=0)
nologin           	supported	busybox-matrix(ec=0)
nproc             	supported	busybox-matrix(ec=0)
nsenter           	supported	busybox-matrix(ec=0)
nslookup          	supported	busybox-matrix(ec=0)
ntpd              	supported	busybox-matrix(ec=0)
od                	supported	busybox-matrix(ec=0)
openvt            	supported	busybox-matrix(ec=0)
partprobe         	supported	busybox-matrix(ec=0)
paste             	supported	busybox-matrix(ec=0)
patch             	supported	busybox-matrix(ec=0)
pgrep             	supported	busybox-matrix(ec=0)
pidof             	supported	busybox-matrix(ec=0)
ping              	supported	busybox-matrix(ec=0)
ping6             	supported	busybox-matrix(ec=0)
pipe_progress     	supported	busybox-matrix(ec=0)
pivot_root        	supported	busybox-matrix(ec=0)
pkill             	supported	busybox-matrix(ec=0)
pmap              	supported	busybox-matrix(ec=0)
popmaildir        	supported	busybox-matrix(ec=0)
poweroff          	supported	make smoke-runit-busybox-poweroff
powertop          	supported	busybox-matrix(ec=0)
printenv          	supported	busybox-matrix(ec=0)
printf            	supported	busybox-matrix(ec=0)
ps                	supported	busybox-matrix(ec=0)
pscan             	supported	busybox-matrix(ec=0)
pstree            	supported	busybox-matrix(ec=0)
pwd               	supported	busybox-matrix(ec=0)
pwdx              	supported	busybox-matrix(ec=0)
raidautorun       	supported	busybox-matrix(ec=0)
rdate             	supported	busybox-matrix(ec=0)
rdev              	supported	busybox-matrix(ec=0)
readahead         	supported	busybox-matrix(ec=0)
readlink          	supported	busybox-matrix(ec=0)
readprofile       	supported	busybox-matrix(ec=0)
realpath          	supported	busybox-matrix(ec=0)
reboot            	supported	make smoke-runit-busybox-reboot
reformime         	supported	busybox-matrix(ec=0)
remove-shell      	supported	busybox-matrix(ec=0)
renice            	supported	busybox-matrix(ec=0)
reset             	supported	busybox-matrix(ec=0)
resize            	supported	busybox-matrix(ec=0)
resume            	supported	busybox-matrix(ec=0)
rev               	supported	busybox-matrix(ec=0)
rm                	supported	busybox-matrix(ec=0)
rmdir             	supported	busybox-matrix(ec=0)
rmmod             	supported	busybox-matrix(ec=0)
route             	supported	busybox-matrix(ec=0)
rpm               	supported	busybox-matrix(ec=0)
rpm2cpio          	supported	busybox-matrix(ec=0)
rtcwake           	supported	busybox-matrix(ec=0)
run-init          	unverified	host-help(present)
run-parts         	supported	busybox-matrix(ec=0)
runlevel          	supported	busybox-matrix(ec=0)
runsvdir          	supported	busybox-matrix(ec=0)
rx                	unverified	host-help(present)
script            	supported	busybox-matrix(ec=0)
scriptreplay      	supported	busybox-matrix(ec=0)
sed               	supported	busybox-matrix(ec=0)
seedrng           	supported	busybox-matrix(ec=0)
sendmail          	supported	busybox-matrix(ec=0)
seq               	supported	busybox-matrix(ec=0)
setarch           	supported	busybox-matrix(ec=0)
setconsole        	supported	busybox-matrix(ec=0)
setfattr          	supported	busybox-matrix(ec=0)
setfont           	supported	busybox-matrix(ec=0)
setkeycodes       	supported	busybox-matrix(ec=0)
setlogcons        	supported	busybox-matrix(ec=0)
setpriv           	supported	busybox-matrix(ec=0)
setserial         	supported	busybox-matrix(ec=0)
setsid            	supported	busybox-matrix(ec=0)
setuidgid         	supported	busybox-matrix(ec=0)
sh                	supported	make smoke-fase58e-ash-interactive
sha1sum           	supported	busybox-matrix(ec=0)
sha256sum         	supported	busybox-matrix(ec=0)
sha3sum           	supported	busybox-matrix(ec=0)
sha512sum         	supported	busybox-matrix(ec=0)
showkey           	unverified	host-help(present)
shred             	supported	busybox-matrix(ec=0)
shuf              	supported	busybox-matrix(ec=0)
slattach          	supported	busybox-matrix(ec=0)
sleep             	supported	busybox-matrix(ec=0)
smemcap           	supported	busybox-matrix(ec=0)
softlimit         	supported	busybox-matrix(ec=0)
sort              	supported	busybox-matrix(ec=0)
split             	supported	busybox-matrix(ec=0)
ssl_client        	supported	busybox-matrix(ec=0)
start-stop-daemon 	supported	busybox-matrix(ec=0)
stat              	supported	busybox-matrix(ec=0)
strings           	supported	busybox-matrix(ec=0)
stty              	supported	busybox-matrix(ec=0)
sum               	supported	busybox-matrix(ec=0)
svc               	supported	busybox-matrix(ec=0)
svlogd            	supported	busybox-matrix(ec=0)
svok              	supported	busybox-matrix(ec=0)
swapoff           	supported	busybox-matrix(ec=0)
swapon            	supported	busybox-matrix(ec=0)
switch_root       	supported	busybox-matrix(ec=0)
sync              	supported	busybox-matrix(ec=0)
sysctl            	supported	busybox-matrix(ec=0)
syslogd           	supported	busybox-matrix(ec=0)
tac               	supported	busybox-matrix(ec=0)
tail              	supported	busybox-matrix(ec=0)
tar               	supported	busybox-matrix(ec=0)
taskset           	supported	busybox-matrix(ec=0)
tcpsvd            	supported	busybox-matrix(ec=0)
tee               	supported	busybox-matrix(ec=0)
telnet            	supported	busybox-matrix(ec=0)
test              	supported	busybox-matrix(ec=0)
tftp              	supported	busybox-matrix(ec=0)
tftpd             	supported	busybox-matrix(ec=0)
time              	supported	busybox-matrix(ec=0)
timeout           	supported	busybox-matrix(ec=0)
top               	supported	busybox-matrix(ec=0)
touch             	supported	busybox-matrix(ec=0)
tr                	supported	busybox-matrix(ec=0)
